Frame,Y1,Y2
200,7.31948,6.30058
201,7.51681,6.77844
202,7.67024,7.16024
203,7.76387,7.44016
204,7.77373,7.61238
205,7.67108,7.67108
206,7.42444,7.58775
207,7.00741,7.34327
208,6.40854,6.9459
209,5.62906,6.40391
210,4.68749,5.72556
211,3.60755,4.91912
212,2.41425,3.99284
213,1.1303,2.955
214,-0.214624,1.81386
215,-1.60913,0.577681
216,-3.04991,-0.745272
217,-4.54399,-2.14673
218,-6.10447,-3.61844
219,-7.75281,-5.15213
220,-9.512,-6.73954
221,-11.404,-8.3724
222,-13.4467,-10.0424
223,-15.6485,-11.7414
224,-18.0071,-13.4611
225,-20.5097,-15.1931
226,-23.1294,-16.9292
227,-25.827,-18.6613
228,-28.5518,-20.3809
229,-31.2414,-22.0799
230,-33.8219,-23.7499
231,-36.2135,-25.3828
232,-38.3356,-26.9702
233,-40.118,-28.5039
234,-41.5098,-29.9756
235,-42.4899,-31.377
236,-43.0714,-32.7
237,-43.2989,-33.9362
238,-43.2429,-35.0773
239,-42.9882,-36.1152
240,-42.6148,-37.0414
241,-42.1871,-37.8479
242,-41.744,-38.5262
243,-41.2979,-39.0682
244,-40.8391,-39.4656
245,-40.3441,-39.7101
246,-39.7934,-39.7934
247,-39.1673,-39.7498
248,-38.4572,-39.6218
249,-37.6644,-39.4138
250,-36.798,-39.1301
251,-35.8723,-38.7751
252,-34.905,-38.353
253,-33.9162,-37.8681
254,-32.9292,-37.3249
255,-31.9602,-36.7276
256,-31.0371,-36.0806
257,-30.1777,-35.3881
258,-29.3955,-34.6546
259,-28.6958,-33.8843
260,-28.0769,-33.0815
261,-27.531,-32.2506
262,-27.0457,-31.396
263,-26.6086,-30.5218
264,-26.2128,-29.6326
265,-25.8506,-28.7325
266,-25.523,-27.8259
267,-25.233,-26.9172
268,-24.9827,-26.0106
269,-24.7687,-25.1105
270,-24.5811,-24.2213
271,-24.4032,-23.3471
272,-24.212,-22.4925
273,-23.9806,-21.6616
274,-23.683,-20.8588
275,-23.2988,-20.0885
276,-22.8143,-19.355
277,-22.2267,-18.6625
278,-21.5436,-18.0155
279,-20.7818,-17.4182
280,-19.9642,-16.875
281,-19.1178,-16.3901
282,-18.2714,-15.968
283,-17.4534,-15.613
284,-16.6905,-15.3293
285,-16.0069,-15.1213
286,-15.422,-14.9933
287,-14.9497,-14.9497
288,-14.5963,-14.945
289,-14.3607,-14.9313
290,-14.2354,-14.909
291,-14.2065,-14.8786
292,-14.2566,-14.8406
293,-14.366,-14.7953
294,-14.5156,-14.7434
295,-14.6874,-14.6851
296,-14.8666,-14.6211
297,-15.0419,-14.5518
298,-15.2064,-14.4776
299,-15.3547,-14.3989
300,-15.4877,-14.3164
301,-15.6087,-14.2303
302,-15.7249,-14.1413
303,-15.846,-14.0497
304,-15.983,-13.956
305,-16.1448,-13.8607
306,-16.3346,-13.7642
307,-16.5467,-13.667
308,-16.7654,-13.5697
309,-16.9631,-13.4725
310,-17.107,-13.376
311,-17.1631,-13.2807
312,-17.1033,-13.187
313,-16.9135,-13.0954
314,-16.5947,-13.0064
315,-16.1644,-12.9203
316,-15.6487,-12.8378
317,-15.0754,-12.7591
318,-14.4692,-12.6849
319,-13.8465,-12.6156
320,-13.2302,-12.5516
321,-12.6403,-12.4933
322,-12.099,-12.4414
323,-11.6927,-12.3961
324,-11.4512,-12.3581
325,-11.4075,-12.3277
326,-11.5626,-12.3054
327,-11.879,-12.2917
328,-12.287,-12.287
329,-12.6834,-12.3386
330,-12.9705,-12.49
331,-13.0881,-12.7361
332,-12.9672,-13.0717
333,-12.6446,-13.4918
334,-12.1521,-13.9912
335,-11.5366,-14.5648
336,-10.8436,-15.2076
337,-10.1091,-15.9142
338,-9.36632,-16.6798
339,-8.64165,-17.499
340,-7.94588,-18.3669
341,-7.30604,-19.2783
342,-6.74748,-20.2281
343,-6.2926,-21.2111
344,-5.9456,-22.2223
345,-5.72399,-23.2566
346,-5.63653,-24.3087
347,-5.69393,-25.3736
348,-5.91172,-26.4462
349,-6.30837,-27.5214
350,-6.91857,-28.594
351,-7.75576,-29.6589
352,-8.8204,-30.711
353,-10.11,-31.7453
354,-11.5833,-32.7565
355,-13.2137,-33.7395
