Frame,Y1,Y2
200,7.31948,3.59355
201,7.51681,4.40905
202,7.67024,5.22456
203,7.76387,6.04007
204,7.77373,6.85557
205,7.67108,7.67108
206,7.42444,6.51341
207,7.00741,5.35574
208,6.40854,4.19807
209,5.62906,3.0404
210,4.68749,1.88273
211,3.60755,0.725059
212,2.41425,-0.432612
213,1.1303,-1.59028
214,-0.214624,-2.74795
215,-1.60913,-3.90562
216,-3.04991,-5.06329
217,-4.54399,-6.22096
218,-6.10447,-7.37863
219,-7.75281,-8.5363
220,-9.512,-9.69397
221,-11.404,-10.8516
222,-13.4467,-12.0093
223,-15.6485,-13.167
224,-18.0071,-14.3247
225,-20.5097,-15.4823
226,-23.1294,-16.64
227,-25.827,-17.7977
228,-28.5518,-18.9553
229,-31.2414,-20.113
230,-33.8219,-21.2707
231,-36.2135,-22.4283
232,-38.3356,-23.586
233,-40.118,-24.7437
234,-41.5098,-25.9014
235,-42.4899,-27.059
236,-43.0714,-28.2167
237,-43.2989,-29.3744
238,-43.2429,-30.532
239,-42.9882,-31.6897
240,-42.6148,-32.8474
241,-42.1871,-34.005
242,-41.744,-35.1627
243,-41.2979,-36.3204
244,-40.8391,-37.4781
245,-40.3441,-38.6357
246,-39.7934,-39.7934
247,-39.1673,-39.1875
248,-38.4572,-38.5815
249,-37.6644,-37.9756
250,-36.798,-37.3696
251,-35.8723,-36.7637
252,-34.905,-36.1577
253,-33.9162,-35.5518
254,-32.9292,-34.9458
255,-31.9602,-34.3399
256,-31.0371,-33.734
257,-30.1777,-33.128
258,-29.3955,-32.5221
259,-28.6958,-31.9161
260,-28.0769,-31.3102
261,-27.531,-30.7042
262,-27.0457,-30.0983
263,-26.6086,-29.4924
264,-26.2128,-28.8864
265,-25.8506,-28.2805
266,-25.523,-27.6745
267,-25.233,-27.0686
268,-24.9827,-26.4626
269,-24.7687,-25.8567
270,-24.5811,-25.2507
271,-24.4032,-24.6448
272,-24.212,-24.0389
273,-23.9806,-23.4329
274,-23.683,-22.827
275,-23.2988,-22.221
276,-22.8143,-21.6151
277,-22.2267,-21.0091
278,-21.5436,-20.4032
279,-20.7818,-19.7973
280,-19.9642,-19.1913
281,-19.1178,-18.5854
282,-18.2714,-17.9794
283,-17.4534,-17.3735
284,-16.6905,-16.7675
285,-16.0069,-16.1616
286,-15.422,-15.5556
287,-14.9497,-14.9497
288,-14.5963,-14.8848
289,-14.3607,-14.8198
290,-14.2354,-14.7549
291,-14.2065,-14.6899
292,-14.2566,-14.625
293,-14.366,-14.56
294,-14.5156,-14.4951
295,-14.6874,-14.4301
296,-14.8666,-14.3652
297,-15.0419,-14.3003
298,-15.2064,-14.2353
299,-15.3547,-14.1704
300,-15.4877,-14.1054
301,-15.6087,-14.0405
302,-15.7249,-13.9755
303,-15.846,-13.9106
304,-15.983,-13.8457
305,-16.1448,-13.7807
306,-16.3346,-13.7158
307,-16.5467,-13.6508
308,-16.7654,-13.5859
309,-16.9631,-13.5209
310,-17.107,-13.456
311,-17.1631,-13.391
312,-17.1033,-13.3261
313,-16.9135,-13.2612
314,-16.5947,-13.1962
315,-16.1644,-13.1313
316,-15.6487,-13.0663
317,-15.0754,-13.0014
318,-14.4692,-12.9364
319,-13.8465,-12.8715
320,-13.2302,-12.8066
321,-12.6403,-12.7416
322,-12.099,-12.6767
323,-11.6927,-12.6117
324,-11.4512,-12.5468
325,-11.4075,-12.4818
326,-11.5626,-12.4169
327,-11.879,-12.3519
328,-12.287,-12.287
329,-12.6834,-13.0039
330,-12.9705,-13.7208
331,-13.0881,-14.4378
332,-12.9672,-15.1547
333,-12.6446,-15.8716
334,-12.1521,-16.5885
335,-11.5366,-17.3054
336,-10.8436,-18.0223
337,-10.1091,-18.7393
338,-9.36632,-19.4562
339,-8.64165,-20.1731
340,-7.94588,-20.89
341,-7.30604,-21.6069
342,-6.74748,-22.3238
343,-6.2926,-23.0408
344,-5.9456,-23.7577
345,-5.72399,-24.4746
346,-5.63653,-25.1915
347,-5.69393,-25.9084
348,-5.91172,-26.6253
349,-6.30837,-27.3423
350,-6.91857,-28.0592
351,-7.75576,-28.7761
352,-8.8204,-29.493
353,-10.11,-30.2099
354,-11.5833,-30.9268
355,-13.2137,-31.6438
356,-14.9724,-32.3607
357,-16.8356,-33.0776
358,-18.7881,-33.7945
359,-20.8115,-34.5114
360,-22.906,-35.2283
361,-25.0663,-35.9453
362,-27.2782,-36.6622
363,-29.5192,-37.3791
364,-31.7571,-38.096
365,-33.9572,-38.8129
366,-36.0832,-39.5298
367,-38.0999,-40.2468
368,-39.9762,-40.9637
369,-41.6806,-41.6806
370,-43.1852,-41.3352
371,-44.4655,-40.9898
372,-45.5006,-40.6444
373,-46.2761,-40.299
374,-46.784,-39.9536
375,-47.0233,-39.6081
376,-47.0002,-39.2627
377,-46.7307,-38.9173
378,-46.2414,-38.5719
379,-45.5697,-38.2265
380,-44.764,-37.8811
381,-43.8795,-37.5357
382,-42.9735,-37.1903
383,-42.097,-36.8449
384,-41.287,-36.4995
385,-40.561,-36.154
386,-39.9157,-35.8086
387,-39.3306,-35.4632
388,-38.7779,-35.1178
389,-38.2298,-34.7724
390,-37.6657,-34.427
391,-37.074,-34.0816
392,-36.4523,-33.7362
393,-35.806,-33.3908
394,-35.1456,-33.0454
395,-34.4846,-32.6999
396,-33.8385,-32.3545
397,-33.221,-32.0091
398,-32.6432,-31.6637
399,-32.1103,-31.3183
400,-31.6216,-30.9729
401,-31.1698,-30.6275
402,-30.7422,-30.2821
403,-30.3239,-29.9367
404,-29.9022,-29.5913
405,-29.4703,-29.2458
406,-29.0308,-28.9004
407,-28.5956,-28.555
408,-28.184,-28.2096
409,-27.8181,-27.8642
410,-27.5188,-27.5188
411,-27.2996,-28.2381
412,-27.1645,-28.9575
413,-27.1063,-29.6768
414,-27.1095,-30.3962
415,-27.1529,-31.1155
416,-27.2143,-31.8348
417,-27.2767,-32.5542
418,-27.3328,-33.2735
419,-27.3894,-33.9929
420,-27.469,-34.7122
421,-27.6075,-35.4316
422,-27.8482,-36.1509
423,-28.2328,-36.8702
424,-28.793,-37.5896
425,-29.5424,-38.3089
426,-30.4725,-39.0283
427,-31.5534,-39.7476
428,-32.7392,-40.4669
429,-33.9756,-41.1863
430,-35.2096,-41.9056
431,-36.3981,-42.625
432,-37.5141,-43.3443
433,-38.5495,-44.0637
434,-39.5144,-44.783
435,-40.4339,-45.5023
436,-41.343,-46.2217
437,-42.2801,-46.941
438,-43.2811,-47.6604
439,-44.3718,-48.3797
440,-45.5638,-49.099
441,-46.8501,-49.8184
442,-48.2059,-50.5377
443,-49.5926,-51.2571
444,-50.9628,-51.9764
445,-52.2685,-52.6958
446,-53.4658,-53.4151
447,-54.5209,-54.1344
448,-55.4108,-54.8538
449,-56.1235,-55.5731
450,-56.656,-56.2925
451,-57.0118,-57.0118
452,-57.1981,-56.309
453,-57.2248,-55.6062
454,-57.1024,-54.9034
455,-56.8438,-54.2006
456,-56.4621,-53.4977
457,-55.971,-52.7949
458,-55.3828,-52.0921
459,-54.7056,-51.3893
460,-53.9451,-50.6865
461,-53.1042,-49.9837
462,-52.1858,-49.2809
463,-51.1945,-48.5781
464,-50.1382,-47.8752
465,-49.03,-47.1724
466,-47.8873,-46.4696
467,-46.7311,-45.7668
468,-45.585,-45.064
469,-44.4703,-44.3612
470,-43.4052,-43.6584
471,-42.402,-42.9556
472,-41.4664,-42.2527
473,-40.5973,-41.5499
474,-39.7878,-40.8471
475,-39.0274,-40.1443
476,-38.3036,-39.4415
477,-37.604,-38.7387
478,-36.9189,-38.0359
479,-36.2411,-37.3331
480,-35.5655,-36.6302
481,-34.889,-35.9274
482,-34.2104,-35.2246
483,-33.53,-34.5218
484,-32.85,-33.819
485,-32.1754,-33.1162
486,-31.5133,-32.4134
487,-30.8716,-31.7106
488,-30.2586,-31.0077
489,-29.682,-30.3049
490,-29.1462,-29.6021
491,-28.6519,-28.8993
492,-28.1965,-28.1965
493,-27.774,-28.2785
494,-27.3775,-28.3605
495,-27.0004,-28.4425
496,-26.6401,-28.5245
497,-26.2965,-28.6064
498,-25.9732,-28.6884
499,-25.6756,-28.7704
500,-25.4084,-28.8524
