Frame,OY,Y1,Y2
200,5.81169,4.65431,4.67631
201,5.7792,4.67361,4.69468
202,5.7407,4.69238,4.7117
203,5.70066,4.71026,4.72715
204,5.65981,4.72691,4.74087
205,5.61233,4.74196,4.75272
206,5.54624,4.75507,4.76261
207,5.44671,4.76589,4.77047
208,5.29561,4.77405,4.77622
209,5.07698,4.7792,4.77977
210,4.781,4.781,4.781
211,4.40435,4.70808,4.70593
212,3.95353,4.49889,4.49082
213,3.43948,4.16776,4.15114
214,2.87743,3.72905,3.70239
215,2.28162,3.1971,3.16038
216,1.66459,2.58626,2.5405
217,1.03599,1.91086,1.85813
218,0.402616,1.18526,1.12819
219,-0.230245,0.423794,0.365287
220,-0.856198,-0.359188,-0.416283
221,-1.46783,-1.14934,-1.20251
222,-2.05633,-1.93232,-1.97959
223,-2.61378,-2.69379,-2.73385
224,-3.13418,-3.41939,-3.45165
225,-3.61781,-4.09479,-4.1193
226,-4.0711,-4.70563,-4.72305
227,-4.50558,-5.23758,-5.24885
228,-4.93565,-5.67629,-5.68273
229,-5.37407,-6.00742,-6.01029
230,-5.82634,-6.21661,-6.21734
231,-6.28953,-6.28953,-6.28953
232,-6.74993,-6.25317,-6.25447
233,-7.18602,-6.14884,-6.15409
234,-7.57065,-5.98371,-5.99582
235,-7.87663,-5.76493,-5.78711
236,-8.08257,-5.49965,-5.53533
237,-8.17507,-5.19502,-5.24747
238,-8.1511,-4.8582,-4.93008
239,-8.01774,-4.49635,-4.58922
240,-7.78792,-4.11661,-4.23052
241,-7.4778,-3.72614,-3.85926
242,-7.1025,-3.33209,-3.48054
243,-6.67359,-2.94162,-3.09952
244,-6.19817,-2.56188,-2.72165
245,-5.6786,-2.20003,-2.35302
246,-5.11646,-1.86321,-2.0006
247,-4.51192,-1.55858,-1.67258
248,-3.86419,-1.2933,-1.37847
249,-3.17096,-1.07452,-1.12908
250,-2.42898,-0.909387,-0.936325
251,-1.63079,-0.805063,-0.812337
252,-0.768699,-0.768699,-0.768699
253,0.164533,-0.622327,-0.683743
254,1.17274,-0.202409,-0.438053
255,2.25697,0.462263,-0.0428136
256,3.40497,1.34289,0.493284
257,4.59802,2.41069,1.16405
258,5.80867,3.63685,1.96482
259,7.00691,4.99259,2.89263
260,8.16086,6.4491,3.94552
261,9.24968,7.97761,5.12196
262,10.2634,9.5493,6.41995
263,11.205,11.1354,7.83574
264,12.0911,12.7071,9.36197
265,12.954,14.2356,10.9851
266,13.8224,15.6921,12.6824
267,14.7251,17.0479,14.4179
268,15.6799,18.274,16.1389
269,16.6972,19.3418,17.7735
270,17.7786,20.2224,19.2298
271,18.9252,20.8871,20.4015
272,20.1441,21.307,21.1765
273,21.4534,21.4534,21.4534
274,22.8829,21.5709,21.5484
275,24.4824,21.9081,21.8221
276,26.3014,22.4419,22.2593
277,28.3928,23.1491,22.846
278,30.7785,24.0065,23.5694
279,33.4453,24.9912,24.4167
280,36.3297,26.0799,25.3753
281,39.3289,27.2495,26.4318
