Frame,OY,Y1,Y2
600,-18.5822,-17.5854,-17.6255
601,-18.6236,-17.6401,-17.7046
602,-18.6372,-17.6948,-17.7799
603,-18.627,-17.7495,-17.8499
604,-18.5958,-17.8042,-17.9133
605,-18.5446,-17.8589,-17.9685
606,-18.4709,-17.9136,-18.0141
607,-18.3712,-17.9683,-18.0484
608,-18.2409,-18.023,-18.0701
609,-18.0777,-18.0777,-18.0777
610,-17.8818,-17.8434,-18.0453
611,-17.6594,-17.6091,-17.9523
612,-17.4206,-17.3748,-17.8051
613,-17.1783,-17.1405,-17.6102
614,-16.9443,-16.9062,-17.3737
615,-16.7275,-16.6719,-17.1022
616,-16.5296,-16.4376,-16.8021
617,-16.3459,-16.2033,-16.4796
618,-16.1656,-15.969,-16.1411
619,-15.9745,-15.7347,-15.7931
620,-15.7581,-15.5004,-15.442
621,-15.5055,-15.2661,-15.094
622,-15.2127,-15.0318,-14.7555
623,-14.883,-14.7975,-14.433
624,-14.5282,-14.5632,-14.1329
625,-14.1679,-14.3289,-13.8614
626,-13.8265,-14.0946,-13.6249
627,-13.5317,-13.8603,-13.43
628,-13.309,-13.626,-13.2828
629,-13.1798,-13.3917,-13.1898
630,-13.1574,-13.1574,-13.1574
631,-13.2442,-13.3595,-13.1854
632,-13.4318,-13.5616,-13.2656
633,-13.7011,-13.7637,-13.3925
634,-14.0262,-13.9658,-13.5607
635,-14.3798,-14.1679,-13.7646
636,-14.7374,-14.3701,-13.9988
637,-15.1177,-14.5722,-14.2578
638,-15.5324,-14.7743,-14.536
639,-15.9994,-14.9764,-14.8279
640,-16.5315,-15.1785,-15.1281
641,-17.1248,-15.3806,-15.431
642,-17.7526,-15.5827,-15.7312
643,-18.3663,-15.7848,-16.0231
644,-18.9052,-15.9869,-16.3013
645,-19.3038,-16.189,-16.5603
646,-19.4954,-16.3912,-16.7945
647,-19.4618,-16.5933,-16.9984
648,-19.2049,-16.7954,-17.1666
649,-18.7471,-16.9975,-17.2935
650,-18.1288,-17.1996,-17.3737
651,-17.4017,-17.4017,-17.4017
652,-16.6214,-17.8943,-17.4698
653,-15.8383,-18.387,-17.6653
654,-15.0999,-18.8796,-17.9748
655,-14.4296,-19.3723,-18.3848
656,-13.849,-19.8649,-18.8819
657,-13.3734,-20.3576,-19.4527
658,-13.0183,-20.8502,-20.0839
659,-12.803,-21.3428,-20.7619
660,-12.7526,-21.8355,-21.4735
661,-12.8959,-22.3281,-22.2052
662,-13.2611,-22.8208,-22.9437
663,-13.867,-23.3134,-23.6754
664,-14.7282,-23.8061,-24.387
665,-15.8387,-24.2987,-25.065
666,-17.1801,-24.7913,-25.6962
667,-18.7221,-25.284,-26.267
668,-20.4264,-25.7766,-26.7641
669,-22.2319,-26.2693,-27.1741
670,-24.0846,-26.7619,-27.4836
671,-25.9355,-27.2546,-27.6791
672,-27.7472,-27.7472,-27.7472
