Frame,OY,Y1,Y2
200,5.81169,4.65107,4.67314
201,5.7792,4.66406,4.6857
202,5.7407,4.67706,4.69787
203,5.70066,4.69005,4.70963
204,5.65981,4.70304,4.72101
205,5.61233,4.71604,4.73198
206,5.54624,4.72903,4.74257
207,5.44671,4.74202,4.75276
208,5.29561,4.75501,4.76256
209,5.07698,4.76801,4.77198
210,4.781,4.781,4.781
211,4.40435,4.25383,4.23929
212,3.95353,3.72666,3.69992
213,3.43948,3.1995,3.16276
214,2.87743,2.67233,2.62767
215,2.28162,2.14516,2.09451
216,1.66459,1.61799,1.56313
217,1.03599,1.09082,1.03341
218,0.402616,0.563655,0.50519
219,-0.230245,0.0364871,-0.0216598
220,-0.856198,-0.490681,-0.547284
221,-1.46783,-1.01785,-1.07182
222,-2.05633,-1.54502,-1.59542
223,-2.61378,-2.07219,-2.11823
224,-3.13418,-2.59935,-2.64037
225,-3.61781,-3.12652,-3.16201
226,-4.0711,-3.65369,-3.68329
227,-4.50558,-4.18086,-4.20436
228,-4.93565,-4.70803,-4.72537
229,-5.37407,-5.23519,-5.24646
230,-5.82634,-5.76236,-5.7678
231,-6.28953,-6.28953,-6.28953
232,-6.74993,-6.02663,-6.03687
233,-7.18602,-5.76374,-5.78597
234,-7.57065,-5.50084,-5.53646
235,-7.87663,-5.23794,-5.28797
236,-8.08257,-4.97505,-5.04012
237,-8.17507,-4.71215,-4.79254
238,-8.1511,-4.44925,-4.54481
239,-8.01774,-4.18636,-4.29653
240,-7.78792,-3.92346,-4.04727
241,-7.4778,-3.66056,-3.79656
242,-7.1025,-3.39767,-3.54392
243,-6.67359,-3.13477,-3.28882
244,-6.19817,-2.87187,-3.03071
245,-5.6786,-2.60898,-2.76897
246,-5.11646,-2.34608,-2.50294
247,-4.51192,-2.08318,-2.23187
248,-3.86419,-1.82029,-1.95495
249,-3.17096,-1.55739,-1.67128
250,-2.42898,-1.29449,-1.37981
251,-1.63079,-1.0316,-1.07939
252,-0.768699,-0.768699,-0.768699
253,0.164533,0.289496,-0.146275
254,1.17274,1.34769,0.496309
255,2.25697,2.40589,1.16098
256,3.40497,3.46408,1.84988
257,4.59802,4.52228,2.5654
