Frame,OY,Y1,Y2
600,-18.5822,-17.4423,-17.4853
601,-18.6236,-17.5012,-17.5742
602,-18.6372,-17.5629,-17.6644
603,-18.627,-17.6273,-17.7533
604,-18.5958,-17.6947,-17.838
605,-18.5446,-17.765,-17.9152
606,-18.4709,-17.8383,-17.9814
607,-18.3712,-17.9148,-18.0328
608,-18.2409,-17.9946,-18.066
609,-18.0777,-18.0777,-18.0777
610,-17.8818,-17.8352,-18.0441
611,-17.6594,-17.5937,-17.9478
612,-17.4206,-17.3532,-17.7957
613,-17.1783,-17.1136,-17.5948
614,-16.9443,-16.8749,-17.3521
615,-16.7275,-16.6371,-17.0746
616,-16.5296,-16.4002,-16.7692
617,-16.3459,-16.1641,-16.4426
618,-16.1656,-15.9288,-16.1016
619,-15.9745,-15.6943,-15.7527
620,-15.7581,-15.4605,-15.4023
621,-15.5055,-15.2274,-15.0566
622,-15.2127,-14.995,-14.7218
623,-14.883,-14.7633,-14.404
624,-14.5282,-14.5322,-14.1092
625,-14.1679,-14.3017,-13.8434
626,-13.8265,-14.0718,-13.6125
627,-13.5317,-13.8424,-13.4225
628,-13.309,-13.6136,-13.2793
629,-13.1798,-13.3853,-13.1889
630,-13.1574,-13.1574,-13.1574
631,-13.2442,-13.329,-13.181
632,-13.4318,-13.5035,-13.2489
633,-13.7011,-13.6808,-13.3573
634,-14.0262,-13.861,-13.5027
635,-14.3798,-14.0442,-13.6816
636,-14.7374,-14.2303,-13.8907
637,-15.1177,-14.4194,-14.1265
638,-15.5324,-14.6116,-14.3853
639,-15.9994,-14.8068,-14.6631
640,-16.5315,-15.0051,-14.9554
641,-17.1248,-15.2066,-15.2573
642,-17.7526,-15.4112,-15.5636
643,-18.3663,-15.619,-15.8682
644,-18.9052,-15.8301,-16.165
645,-19.3038,-16.0444,-16.4469
646,-19.4954,-16.2621,-16.7066
647,-19.4618,-16.4831,-16.9365
648,-19.2049,-16.7076,-17.1288
649,-18.7471,-16.9355,-17.2756
650,-18.1288,-17.1668,-17.369
651,-17.4017,-17.4017,-17.4017
652,-16.6214,-17.8984,-17.4704
653,-15.8383,-18.3946,-17.6675
654,-15.0999,-18.8905,-17.9794
655,-14.4296,-19.386,-18.3923
656,-13.849,-19.8811,-18.8927
