Frame,Y1,Y2
600,-17.4423,-17.4853
601,-17.5012,-17.5742
602,-17.5629,-17.6644
603,-17.6273,-17.7533
604,-17.6947,-17.838
605,-17.765,-17.9152
606,-17.8383,-17.9814
607,-17.9148,-18.0328
608,-17.9946,-18.066
609,-18.0777,-18.0777
610,-17.8352,-18.0441
611,-17.5937,-17.9478
612,-17.3532,-17.7957
613,-17.1136,-17.5948
614,-16.8749,-17.3521
615,-16.6371,-17.0746
616,-16.4002,-16.7692
617,-16.1641,-16.4426
618,-15.9288,-16.1016
619,-15.6943,-15.7527
620,-15.4605,-15.4023
621,-15.2274,-15.0566
622,-14.995,-14.7218
623,-14.7633,-14.404
624,-14.5322,-14.1092
625,-14.3017,-13.8434
626,-14.0718,-13.6125
627,-13.8424,-13.4225
628,-13.6136,-13.2793
629,-13.3853,-13.1889
630,-13.1574,-13.1574
631,-13.329,-13.181
632,-13.5035,-13.2489
633,-13.6808,-13.3573
634,-13.861,-13.5027
635,-14.0442,-13.6816
636,-14.2303,-13.8907
637,-14.4194,-14.1265
638,-14.6116,-14.3853
639,-14.8068,-14.6631
640,-15.0051,-14.9554
641,-15.2066,-15.2573
642,-15.4112,-15.5636
643,-15.619,-15.8682
644,-15.8301,-16.165
645,-16.0444,-16.4469
646,-16.2621,-16.7066
647,-16.4831,-16.9365
648,-16.7076,-17.1288
649,-16.9355,-17.2756
650,-17.1668,-17.369
651,-17.4017,-17.4017
652,-17.8984,-17.4704
653,-18.3946,-17.6675
654,-18.8905,-17.9794
655,-19.386,-18.3923
656,-19.8811,-18.8927
657,-20.3758,-19.4668
658,-20.8701,-20.101
659,-21.364,-20.7816
660,-21.8575,-21.495
661,-22.3505,-22.2276
662,-22.8432,-22.966
663,-23.3355,-23.6969
664,-23.8273,-24.4067
665,-24.3187,-25.0824
666,-24.8097,-25.7106
667,-25.3004,-26.2781
668,-25.7905,-26.772
669,-26.2803,-27.1789
670,-26.7697,-27.4858
671,-27.2586,-27.6796
672,-27.7472,-27.7472
673,-28.5098,-27.8508
674,-29.3034,-28.1514
675,-30.1266,-28.6373
676,-30.9783,-29.2997
677,-31.8572,-30.1304
678,-32.7622,-31.1199
679,-33.6921,-32.2563
680,-34.6457,-33.5237
681,-35.6219,-34.9025
682,-36.6194,-36.3687
683,-37.6372,-37.894
684,-38.6739,-39.4469
685,-39.7284,-40.9929
686,-40.7994,-42.4952
687,-41.8856,-43.9162
688,-42.9858,-45.2177
689,-44.0987,-46.3622
690,-45.2229,-47.3126
691,-46.357,-48.0334
692,-47.4997,-48.4902
693,-48.6496,-48.6496
694,-48.0903,-48.5729
695,-47.5193,-48.3518
696,-46.936,-47.9979
697,-46.3399,-47.5219
698,-45.7304,-46.9334
699,-45.1069,-46.2413
700,-44.4686,-45.455
701,-43.8151,-44.5841
702,-43.1455,-43.6391
703,-42.4592,-42.632
704,-41.7554,-41.577
705,-41.0332,-40.4904
706,-40.2918,-39.3918
707,-39.5304,-38.304
708,-38.7481,-37.2532
709,-37.9438,-36.2693
710,-37.1166,-35.3852
711,-36.2654,-34.636
712,-35.3892,-34.0581
713,-34.4868,-33.6874
714,-33.5571,-33.5571
715,-32.9591,-33.4745
716,-32.3595,-33.2373
717,-31.7585,-32.8614
718,-31.156,-32.3624
719,-30.5521,-31.7558
720,-29.9468,-31.0575
721,-29.3404,-30.2833
722,-28.7327,-29.4491
723,-28.1238,-28.5712
724,-27.5139,-27.6662
725,-26.903,-26.7505
726,-26.2911,-25.841
727,-25.6784,-24.9548
728,-25.0648,-24.1089
729,-24.4505,-23.3205
730,-23.8356,-22.6066
731,-23.22,-21.9844
732,-22.6039,-21.471
733,-21.9873,-21.0834
734,-21.3703,-20.8384
735,-20.753,-20.753
736,-21.5316,-20.8596
737,-22.3295,-21.1673
738,-23.1477,-21.6605
739,-23.9874,-22.3258
740,-24.8498,-23.1515
741,-25.7362,-24.1266
742,-26.6478,-25.2407
743,-27.5861,-26.4826
744,-28.5524,-27.8396
745,-29.5484,-29.2971
746,-30.5755,-30.8368
747,-31.6355,-32.4362
748,-32.73,-34.0675
749,-33.8609,-35.6967
750,-35.03,-37.2831
751,-36.2391,-38.7797
752,-37.4903,-40.1332
753,-38.7856,-41.2864
754,-40.127,-42.1796
755,-41.5166,-42.7542
756,-42.9564,-42.9564
757,-42.7681,-42.9303
758,-42.5802,-42.8556
759,-42.3927,-42.7374
760,-42.2056,-42.581
761,-42.0189,-42.3919
762,-41.8327,-42.1751
763,-41.6469,-41.9362
764,-41.4616,-41.6802
765,-41.2768,-41.4126
766,-41.0924,-41.1383
767,-40.9084,-40.8626
768,-40.725,-40.5905
769,-40.542,-40.3269
770,-40.3596,-40.0768
771,-40.1777,-39.8448
772,-39.9962,-39.6358
773,-39.8153,-39.4543
774,-39.635,-39.3051
775,-39.4551,-39.1927
776,-39.2758,-39.1218
777,-39.0971,-39.0971
778,-39.0883,-39.0954
779,-39.0869,-39.0915
780,-39.0926,-39.0876
781,-39.1055,-39.0869
782,-39.1254,-39.0927
783,-39.1522,-39.1083
784,-39.1858,-39.1364
785,-39.2263,-39.1793
786,-39.2735,-39.2381
787,-39.3274,-39.3134
788,-39.3881,-39.4043
789,-39.4555,-39.5092
790,-39.5295,-39.6255
791,-39.6103,-39.7493
792,-39.6978,-39.8762
793,-39.7921,-40.0006
794,-39.8932,-40.1165
795,-40.0011,-40.2175
796,-40.116,-40.2969
797,-40.2378,-40.3485
798,-40.3668,-40.3668
799,-40.1636,-40.3388
800,-39.9589,-40.2582
