Frame,Y1,Y2
200,7.31948,6.57213
201,7.51681,6.9565
202,7.67024,7.26263
203,7.76387,7.48663
204,7.77373,7.62421
205,7.67108,7.67108
206,7.42444,7.59568
207,7.00741,7.3745
208,6.40854,7.01485
209,5.62906,6.52422
210,4.68749,5.90999
211,3.60755,5.17937
212,2.41425,4.33949
213,1.1303,3.39731
214,-0.214624,2.35965
215,-1.60913,1.23313
216,-3.04991,0.02419
217,-4.54399,-1.2609
218,-6.10447,-2.61602
219,-7.75281,-4.03518
220,-9.512,-5.51248
221,-11.404,-7.04206
222,-13.4467,-8.61805
223,-15.6485,-10.2345
224,-18.0071,-11.8853
225,-20.5097,-13.5642
226,-23.1294,-15.2647
227,-25.827,-16.9797
228,-28.5518,-18.7021
229,-31.2414,-20.424
230,-33.8219,-22.1372
231,-36.2135,-23.8329
232,-38.3356,-25.5017
233,-40.118,-27.1339
234,-41.5098,-28.7188
235,-42.4899,-30.2457
236,-43.0714,-31.7031
237,-43.2989,-33.0793
238,-43.2429,-34.3621
239,-42.9882,-35.5393
240,-42.6148,-36.5986
241,-42.1871,-37.5273
242,-41.744,-38.3134
243,-41.2979,-38.9446
244,-40.8391,-39.4091
245,-40.3441,-39.6956
246,-39.7934,-39.7934
247,-39.1673,-39.7492
248,-38.4572,-39.6194
249,-37.6644,-39.4088
250,-36.798,-39.1216
251,-35.8723,-38.7629
252,-34.905,-38.3372
253,-33.9162,-37.8489
254,-32.9292,-37.3031
255,-31.9602,-36.7042
256,-31.0371,-36.0567
257,-30.1777,-35.3652
258,-29.3955,-34.6341
259,-28.6958,-33.8677
260,-28.0769,-33.0702
261,-27.531,-32.2459
262,-27.0457,-31.3989
263,-26.6086,-30.5333
264,-26.2128,-29.6531
265,-25.8506,-28.7623
266,-25.523,-27.8649
267,-25.233,-26.9649
268,-24.9827,-26.0664
269,-24.7687,-25.1732
270,-24.5811,-24.2896
271,-24.4032,-23.4197
272,-24.212,-22.5675
273,-23.9806,-21.7374
274,-23.683,-20.9336
275,-23.2988,-20.1605
276,-22.8143,-19.4226
277,-22.2267,-18.7245
278,-21.5436,-18.0705
279,-20.7818,-17.4655
280,-19.9642,-16.914
281,-19.1178,-16.4207
282,-18.2714,-15.9906
283,-17.4534,-15.6282
284,-16.6905,-15.3382
285,-16.0069,-15.1254
286,-15.422,-14.9944
287,-14.9497,-14.9497
288,-14.5963,-14.9471
289,-14.3607,-14.9396
290,-14.2354,-14.9272
291,-14.2065,-14.91
292,-14.2566,-14.8881
293,-14.366,-14.8614
294,-14.5156,-14.8301
295,-14.6874,-14.7939
296,-14.8666,-14.7529
297,-15.0419,-14.7071
298,-15.2064,-14.6563
299,-15.3547,-14.6006
300,-15.4877,-14.5399
301,-15.6087,-14.4744
302,-15.7249,-14.4039
303,-15.846,-14.3288
304,-15.983,-14.2489
305,-16.1448,-14.1647
306,-16.3346,-14.0762
307,-16.5467,-13.9838
308,-16.7654,-13.8879
309,-16.9631,-13.7888
310,-17.107,-13.687
311,-17.1631,-13.5831
312,-17.1033,-13.4776
313,-16.9135,-13.3713
314,-16.5947,-13.2648
315,-16.1644,-13.159
316,-15.6487,-13.0547
317,-15.0754,-12.9529
318,-14.4692,-12.8544
319,-13.8465,-12.7604
320,-13.2302,-12.6718
321,-12.6403,-12.5897
322,-12.099,-12.5152
323,-11.6927,-12.4494
324,-11.4512,-12.3934
325,-11.4075,-12.3482
326,-11.5626,-12.3147
