Frame,Y1,Y2
200,7.31948,4.36828
201,7.51681,5.03733
202,7.67024,5.70182
203,7.76387,6.36206
204,7.77373,7.01837
205,7.67108,7.67108
206,7.42444,6.62334
207,7.00741,5.575
208,6.40854,4.52565
209,5.62906,3.47489
210,4.68749,2.42233
211,3.60755,1.36758
212,2.41425,0.310247
213,1.1303,-0.750067
214,-0.214624,-1.81375
215,-1.60913,-2.88118
216,-3.04991,-3.95276
217,-4.54399,-5.02887
218,-6.10447,-6.10989
219,-7.75281,-7.1962
220,-9.512,-8.28818
221,-11.404,-9.38621
222,-13.4467,-10.4907
223,-15.6485,-11.6019
224,-18.0071,-12.7203
225,-20.5097,-13.8463
226,-23.1294,-14.9801
227,-25.827,-16.1222
228,-28.5518,-17.2728
229,-31.2414,-18.4324
230,-33.8219,-19.6013
231,-36.2135,-20.7797
232,-38.3356,-21.9681
233,-40.118,-23.1667
234,-41.5098,-24.3758
235,-42.4899,-25.5957
236,-43.0714,-26.8267
237,-43.2989,-28.0691
238,-43.2429,-29.323
239,-42.9882,-30.5887
240,-42.6148,-31.8664
241,-42.1871,-33.1563
242,-41.744,-34.4586
243,-41.2979,-35.7733
244,-40.8391,-37.1007
245,-40.3441,-38.4407
246,-39.7934,-39.7934
247,-39.1673,-39.1796
248,-38.4572,-38.5675
249,-37.6644,-37.957
250,-36.798,-37.348
251,-35.8723,-36.7403
252,-34.905,-36.1338
253,-33.9162,-35.5285
254,-32.9292,-34.9242
255,-31.9602,-34.3209
256,-31.0371,-33.7183
257,-30.1777,-33.1164
258,-29.3955,-32.5151
259,-28.6958,-31.9143
260,-28.0769,-31.314
261,-27.531,-30.7139
262,-27.0457,-30.114
263,-26.6086,-29.5143
264,-26.2128,-28.9146
265,-25.8506,-28.3149
266,-25.523,-27.715
267,-25.233,-27.1149
268,-24.9827,-26.5145
269,-24.7687,-25.9137
270,-24.5811,-25.3125
271,-24.4032,-24.7107
272,-24.212,-24.1082
273,-23.9806,-23.5051
274,-23.683,-22.9012
275,-23.2988,-22.2965
276,-22.8143,-21.6908
277,-22.2267,-21.0842
278,-21.5436,-20.4766
279,-20.7818,-19.8678
280,-19.9642,-19.2578
281,-19.1178,-18.6466
282,-18.2714,-18.034
283,-17.4534,-17.4202
284,-16.6905,-16.8048
285,-16.0069,-16.188
286,-15.422,-15.5697
287,-14.9497,-14.9497
288,-14.5963,-14.9135
289,-14.3607,-14.8759
290,-14.2354,-14.8371
291,-14.2065,-14.7969
292,-14.2566,-14.7554
293,-14.366,-14.7126
294,-14.5156,-14.6685
295,-14.6874,-14.6229
296,-14.8666,-14.5761
297,-15.0419,-14.5278
298,-15.2064,-14.4782
299,-15.3547,-14.4272
300,-15.4877,-14.3749
301,-15.6087,-14.3211
302,-15.7249,-14.2658
303,-15.846,-14.2092
304,-15.983,-14.1511
305,-16.1448,-14.0916
306,-16.3346,-14.0306
307,-16.5467,-13.9681
308,-16.7654,-13.9041
309,-16.9631,-13.8386
310,-17.107,-13.7716
311,-17.1631,-13.7031
312,-17.1033,-13.633
313,-16.9135,-13.5613
314,-16.5947,-13.4881
315,-16.1644,-13.4133
316,-15.6487,-13.3368
317,-15.0754,-13.2588
318,-14.4692,-13.1791
319,-13.8465,-13.0977
320,-13.2302,-13.0146
321,-12.6403,-12.9298
322,-12.099,-12.8433
323,-11.6927,-12.7551
324,-11.4512,-12.6651
325,-11.4075,-12.5733
326,-11.5626,-12.4797
327,-11.879,-12.3843
328,-12.287,-12.287
329,-12.6834,-13.0033
330,-12.9705,-13.7196
331,-13.0881,-14.4358
332,-12.9672,-15.1521
333,-12.6446,-15.8683
334,-12.1521,-16.5846
335,-11.5366,-17.3008
336,-10.8436,-18.0171
337,-10.1091,-18.7334
338,-9.36632,-19.4497
339,-8.64165,-20.166
340,-7.94588,-20.8823
341,-7.30604,-21.5986
342,-6.74748,-22.315
343,-6.2926,-23.0314
344,-5.9456,-23.7479
345,-5.72399,-24.4643
346,-5.63653,-25.1809
347,-5.69393,-25.8974
348,-5.91172,-26.614
349,-6.30837,-27.3307
350,-6.91857,-28.0474
351,-7.75576,-28.7642
352,-8.8204,-29.4811
353,-10.11,-30.198
354,-11.5833,-30.915
355,-13.2137,-31.632
356,-14.9724,-32.3491
357,-16.8356,-33.0664
358,-18.7881,-33.7837
359,-20.8115,-34.501
360,-22.906,-35.2185
361,-25.0663,-35.9361
362,-27.2782,-36.6538
363,-29.5192,-37.3716
364,-31.7571,-38.0894
365,-33.9572,-38.8074
366,-36.0832,-39.5255
367,-38.0999,-40.2438
368,-39.9762,-40.9621
369,-41.6806,-41.6806
370,-43.1852,-41.3168
371,-44.4655,-40.9544
372,-45.5006,-40.5933
373,-46.2761,-40.2335
374,-46.784,-39.8749
375,-47.0233,-39.5176
376,-47.0002,-39.1614
377,-46.7307,-38.8063
378,-46.2414,-38.4524
379,-45.5697,-38.0996
380,-44.764,-37.7477
381,-43.8795,-37.3969
382,-42.9735,-37.0471
383,-42.097,-36.6982
384,-41.287,-36.3502
385,-40.561,-36.003
386,-39.9157,-35.6567
387,-39.3306,-35.3112
388,-38.7779,-34.9665
389,-38.2298,-34.6226
390,-37.6657,-34.2793
391,-37.074,-33.9368
392,-36.4523,-33.5948
393,-35.806,-33.2536
394,-35.1456,-32.9129
395,-34.4846,-32.5727
396,-33.8385,-32.2331
397,-33.221,-31.894
398,-32.6432,-31.5554
399,-32.1103,-31.2172
400,-31.6216,-30.8795
401,-31.1698,-30.5421
402,-30.7422,-30.2051
403,-30.3239,-29.8684
404,-29.9022,-29.5321
405,-29.4703,-29.196
406,-29.0308,-28.8602
407,-28.5956,-28.5245
408,-28.184,-28.1891
409,-27.8181,-27.8539
410,-27.5188,-27.5188
411,-27.2996,-28.2204
412,-27.1645,-28.922
413,-27.1063,-29.6236
414,-27.1095,-30.3253
415,-27.1529,-31.0271
416,-27.2143,-31.7292
417,-27.2767,-32.4316
418,-27.3328,-33.1344
419,-27.3894,-33.8375
420,-27.469,-34.5412
421,-27.6075,-35.2454
422,-27.8482,-35.9503
423,-28.2328,-36.6559
424,-28.793,-37.3622
425,-29.5424,-38.0694
426,-30.4725,-38.7775
427,-31.5534,-39.4866
428,-32.7392,-40.1968
429,-33.9756,-40.9082
430,-35.2096,-41.6207
431,-36.3981,-42.3346
432,-37.5141,-43.0499
433,-38.5495,-43.7666
434,-39.5144,-44.4848
435,-40.4339,-45.2047
436,-41.343,-45.9263
437,-42.2801,-46.6496
438,-43.2811,-47.3749
439,-44.3718,-48.102
440,-45.5638,-48.8312
441,-46.8501,-49.5626
442,-48.2059,-50.2961
443,-49.5926,-51.032
444,-50.9628,-51.7702
445,-52.2685,-52.5109
446,-53.4658,-53.2541
447,-54.5209,-54
448,-55.4108,-54.7486
449,-56.1235,-55.5001
450,-56.656,-56.2544
451,-57.0118,-57.0118
452,-57.1981,-56.3585
453,-57.2248,-55.7084
454,-57.1024,-55.0609
455,-56.8438,-54.4157
456,-56.4621,-53.7722
457,-55.971,-53.1299
458,-55.3828,-52.4884
459,-54.7056,-51.8472
460,-53.9451,-51.2059
461,-53.1042,-50.5641
462,-52.1858,-49.9212
463,-51.1945,-49.277
464,-50.1382,-48.631
465,-49.03,-47.9827
466,-47.8873,-47.3319
467,-46.7311,-46.6781
468,-45.585,-46.0209
469,-44.4703,-45.3599
470,-43.4052,-44.6948
471,-42.402,-44.0251
472,-41.4664,-43.3505
473,-40.5973,-42.6705
474,-39.7878,-41.9848
475,-39.0274,-41.293
476,-38.3036,-40.5947
477,-37.604,-39.8895
478,-36.9189,-39.1769
479,-36.2411,-38.4566
480,-35.5655,-37.7282
481,-34.889,-36.9912
482,-34.2104,-36.2453
483,-33.53,-35.49
484,-32.85,-34.7248
485,-32.1754,-33.9494
486,-31.5133,-33.1632
487,-30.8716,-32.366
488,-30.2586,-31.5571
489,-29.682,-30.7362
490,-29.1462,-29.9028
491,-28.6519,-29.0563
492,-28.1965,-28.1965
493,-27.774,-28.2862
494,-27.3775,-28.3755
495,-27.0004,-28.4644
496,-26.6401,-28.5528
497,-26.2965,-28.6408
498,-25.9732,-28.7284
499,-25.6756,-28.8156
500,-25.4084,-28.9023
